province;red;green;blue;x;x
200;79;137;255;Gulf of Jin;x
201;119;137;198;#2;x
202;188;145;15;Runhallow;x
203;206;185;121;Redmo;x
204;255;89;71;Samuu;x
205;198;81;120;#2;x
206;204;89;114;#2;x
207;142;57;78;#2;x
208;165;89;97;#2;x
209;66;89;132;Rolkej;x
210;226;241;40;Prove;x
211;50;193;255;Aldstrait;x
212;1;1;2;PLACEHOLDER212;x
213;142;113;65;Pavlosnovy;x
214;255;105;40;Mjoedalen;x
215;0;25;216;#2;x
216;188;49;102;Mined;x
217;82;145;142;#2;x
218;82;145;143;#2;x
219;119;137;168;#2;x
220;72;129;168;#2;x
221;183;89;85;Unupan;x
222;94;121;188;Kaitness;x
223;204;57;46;#2;x
224;183;137;80;Merinah;x
225;64;209;175;Imekt;x
226;204;65;61;#2;x
227;110;153;153;Coast of Eriksdal;x
228;119;145;128;#2;x
229;204;97;59;Moluk;x
230;127;49;132;Netjin;x
231;173;113;83;Novemtuk;x
232;57;177;198;Coast of Karanon;x
233;135;145;120;#2;x
234;0;161;255;Hatzfeldt;x
235;255;186;251;Wibay;x
236;183;178;179;Maudan;x
237;123;98;127;Bensmound;x
238;198;194;195;#2;x
239;7;114;0;Oygull;x
240;198;82;206;Eswal;x
241;1;2;2;PLACEHOLDER241;x
242;76;74;67;Karehk;x
243;219;122;203;Moroogr;x
244;15;138;31;Auerhausen;x
245;183;146;166;Thago;x
246;164;66;183;Cauto;x
247;175;146;183;Oddeal;x
248;132;186;153;Raveness;x
249;145;154;183;#2;x
250;168;82;128;#2;x
251;109;122;69;Vigintiduotuk;x
252;175;154;128;#2;x
253;255;234;206;Agdeland;x
254;198;130;255;Tiburm;x
255;143;138;182;Oyggen;x
256;197;170;255;Ettervik;x
257;96;186;40;Glass;x
258;201;74;131;Bayn;x
259;76;34;6;Botun;x
260;151;202;219;Snilbay;x
261;211;210;156;Eupoc;x
262;255;186;175;Urnello;x
263;143;138;219;Mahaff;x
264;204;114;153;#2;x
265;102;82;49;#2;x
266;127;34;37;Mulcher;x
267;163;114;255;Malag;x
268;135;130;216;#2;x
269;60;58;99;Utraria;x
270;43;58;76;Ocker;x
271;255;122;146;#2;x
272;161;202;204;#2;x
273;144;194;255;Scugger;x
274;204;194;185;#2;x
275;128;178;247;Ulvensmark Bay;x
276;165;74;222;#2;x
277;36;66;165;#2;x
278;62;114;188;The Coldness;x
279;39;34;165;The Tides of Maidter;x
280;255;122;124;Thome;x
281;119;194;255;Yuledal;x
282;219;122;81;Exceme;x
283;219;74;86;Girag;x
284;10;98;153;#2;x
285;107;242;255;Hallow Sea;x
286;198;162;83;#2;x
287;186;146;44;Wiccanan;x
288;69;154;211;Arhg Yapur;x
289;58;74;173;Sea of Opis;x
290;142;74;25;Zugrus;x
291;86;98;206;Dobri;x
292;183;138;47;Olidoe;x
293;209;178;77;Ongla;x
294;56;162;165;#2;x
295;165;162;59;#2;x
296;219;122;122;Ahlum;x
297;122;130;219;#2;x
298;255;178;91;Pallor;x
299;125;146;216;#2;x
300;204;138;106;#2;x
301;114;122;219;#2;x
302;109;122;198;#2;x
303;118;130;219;Helek;x
304;204;138;99;#2;x
305;204;130;126;#2;x
306;145;130;36;Renah;x
307;54;122;142;Ionopolis;x
308;2;2;2;PLACEHOLDER308;x
309;106;82;168;#2;x
310;116;82;183;Madis;x
311;190;218;121;Ophenes;x
312;41;122;238;Bischofraue;x
313;255;66;53;Pomik;x
314;93;82;145;#2;x
315;168;122;100;Khaytak;x
316;50;170;255;Scuggers Bay;x
317;173;114;123;Nowenkurm;x
318;103;146;188;Ill Coast;x
319;142;138;82;#2;x
320;142;74;83;#2;x
321;242;130;19;Yideler;x
322;2;2;3;PLACEHOLDER322;x
323;142;74;107;#2;x
324;64;162;165;#2;x
325;62;114;216;#2;x
326;41;170;206;#2;x
327;160;186;83;Bareia;x
328;181;154;66;Hollew;x
329;117;98;142;Arur;x
330;68;35;68;Brownsby;x
331;58;99;62;Tojom;x
332;176;123;181;Yicksputt;x
333;198;123;206;Woatch;x
334;188;171;181;Vale;x
335;161;163;168;Umm Izghen;x
336;195;219;201;#2;x
337;115;67;127;Pen;x
338;131;219;141;#2;x
339;87;219;89;Efence;x
340;255;155;241;Hastalai;x
341;175;219;190;#2;x
342;192;179;209;Niarsmuth;x
343;183;75;165;Atukis;x
344;51;99;38;Inlisi;x
345;219;203;205;#2;x
346;229;99;255;Etoile;x
347;206;219;213;Faiha;x
348;222;211;255;#2;x
349;168;91;143;#2;x
350;255;235;216;#2;x
351;157;219;186;Shoy;x
352;158;115;183;Muano;x
353;67;219;105;Ruff;x
354;19;27;38;Boun;x
355;190;219;133;Armotier;x
356;104;59;42;Ruban;x
357;198;99;130;#2;x
358;2;3;3;PLACEHOLDER358;x
359;198;219;131;Yaor;x
360;131;219;203;The Dragons Mouth;x
361;206;115;133;Mikayets;x
362;178;155;255;Jeri;x
363;255;147;169;Corpora;x
364;168;155;255;Drul;x
365;76;43;27;Yet;x
366;131;59;219;Shamibah;x
367;0;51;89;Luckels;x
368;255;243;165;Kaipe;x
369;206;195;146;#2;x
370;175;187;243;Lemae;x
371;255;43;163;Gizwat;x
372;144;163;204;#2;x
373;160;203;255;#2;x
374;198;43;167;#2;x
375;255;187;158;Udrick;x
376;39;35;68;Divyland;x
377;212;219;188;Awus;x
378;209;123;187;Belorebey;x
379;182;219;202;#2;x
380;206;99;78;Illplays;x
381;89;163;219;#2;x
382;201;107;76;Loj;x
383;79;83;198;#2;x
384;255;147;117;Weedik;x
385;206;75;66;Horek;x
386;50;179;188;Aegir Coast;x
387;43;75;165;#2;x
388;43;67;165;The Shoreless Expanse;x
389;42;147;186;Verdene;x
390;186;35;42;Kaitmarch;x
391;163;219;50;Olong;x
392;95;171;204;#2;x
393;107;107;255;Flus;x
394;62;107;165;The Triumphant Depths;x
395;56;123;165;Anshan Sea;x
396;219;59;69;Melida;x
397;183;131;20;Ahmon;x
398;120;163;219;Straits of Skit;x
399;81;139;247;Amsvartnir;x
400;89;219;255;Tukbay;x
401;104;115;207;Deila;x
402;216;203;127;Witchek;x
403;95;227;247;Edentowele;x
404;114;107;219;Coroxi Channel;x
405;81;211;255;Yillmouth;x
406;206;139;97;Potoa;x
407;255;123;79;Thandome;x
408;198;123;119;#2;x
409;219;219;105;#2;x
410;255;91;76;#2;x
411;73;227;255;Crestmouth;x
412;255;187;71;Duotuk;x
413;6;219;190;Erhgih;x
414;224;219;89;Halloway;x
415;145;131;43;Dami;x
416;255;211;68;Meank;x
417;68;171;255;Coast of Douta;x
418;239;115;83;Opis;x
419;204;99;113;Bootyr;x
420;239;123;81;Thame;x
421;104;139;168;Mictlampalan Coast;x
422;206;107;14;Pitchweld;x
423;186;123;120;Dorra;x
424;155;211;82;Kanyn;x
425;165;99;111;#2;x
426;91;139;150;Een;x
427;67;219;141;Rusturah;x
428;119;147;165;#2;x
429;100;219;183;#2;x
430;80;67;132;Hejkfei;x
431;168;131;126;#2;x
432;165;131;125;Farisha;x
433;184;219;96;#2;x
434;19;219;202;#2;x
435;102;123;186;Minopolis;x
436;35;163;255;Gulf of Kait;x
437;122;139;165;#2;x
438;175;75;77;Carsso;x
439;47;83;198;#2;x
440;150;75;124;Car Fomass;x
441;49;27;221;Pisshallow;x
442;255;195;17;Alenneillies;x
443;211;83;61;Achiznogorsk;x
444;165;67;74;#2;x
445;112;67;132;Aewddk;x
446;123;107;142;#2;x
447;125;219;136;Thermods;x
448;136;219;125;Yahour;x
449;183;51;64;Thessa;x
450;183;171;64;Rogyll;x
451;204;83;59;#2;x
452;84;147;168;Ruwut;x
453;165;123;89;#2;x
454;150;51;104;Ansmuth;x
455;69;91;186;Polar Sea #2;x
456;175;107;80;#2;x
457;226;124;226;Kironk;x
458;206;132;206;Ifsifi;x
459;102;132;102;Tapot;x
460;38;204;39;#2;x
461;173;124;175;#2;x
462;180;148;183;Wainsey;x
463;174;204;173;Turnal;x
464;202;132;204;Hekura;x
465;65;76;73;Epi;x
466;245;140;255;Tungatuk;x
467;240;84;255;Cluof;x
468;142;52;129;Kranholt;x
469;110;124;127;Munspek;x
470;255;76;237;Hahua;x
471;56;76;43;Aykhaal_2;x
472;37;124;50;Lidotuk;x
473;46;68;54;Tejem;x
474;152;204;130;Scemnot;x
475;176;204;171;#2;x
476;186;76;164;Rowanwood;x
477;168;92;130;Asa;x
478;127;100;84;Bolinea;x
479;211;204;255;Khabavskoy;x
480;20;76;56;Geral;x
481;81;124;124;Vadacost;x
482;22;20;56;The Three Floaters;x
483;255;204;208;Keriham;x
484;183;180;135;Darih;x
485;74;132;122;Watjok;x
486;99;60;81;Treibvia;x
487;156;156;168;Eastern Passage;x
488;120;124;77;Thonie;x
489;123;132;67;Jumi;x
490;64;84;122;Turdmarch;x
491;165;204;159;#2;x
492;255;84;195;Krunka;x
493;154;188;164;#2;x
494;46;204;109;#2;x
495;187;124;255;#2;x
496;55;204;127;#2;x
497;142;204;196;Doggmarch;x
498;86;124;27;Yillmarch;x
499;255;84;172;#2;x
500;199;188;147;Laemanon;x
501;193;204;148;#2;x
502;204;172;155;#2;x
503;219;156;131;#2;x
504;99;60;56;Greyeg;x
505;255;132;161;Gum;x
506;76;68;41;Kustuk;x
507;175;132;201;Nolak;x
508;153;188;255;Kuduk;x
509;35;44;68;Uyuskhaan;x
510;200;12;160;#2;x
511;255;228;150;Upraissa;x
512;51;76;67;Bahtor;x
513;137;172;255;Sadej;x
514;59;68;67;Lodijik;x
515;65;76;57;Weuy;x
516;76;68;54;Kustuktaan;x
517;255;212;132;#2;x
518;191;204;195;Hurhka;x
519;38;204;88;#2;x
520;68;60;59;Pissnow;x
521;255;180;127;Decemtuk;x
522;206;20;76;Menik;x
523;255;124;124;Wearholt;x
524;43;132;173;Straights of Apacha;x
525;117;252;255;Everla;x
526;73;204;195;#2;x
527;122;4;246;Likon;x
528;252;12;112;Nermbueren;x
529;95;204;206;Pinj;x
530;188;28;47;Derrion;x
531;204;20;90;Leniluk;x
532;3;3;3;PLACEHOLDER532;x
533;163;204;61;#2;x
534;22;172;183;Gulf of Lido;x
535;93;68;255;Rotij;x
536;110;204;204;Duluur;x
537;123;212;216;#2;x
538;120;204;219;Crestpount;x
539;32;188;133;Etnay;x
540;109;140;198;#2;x
541;120;164;211;Almetyevsk;x
542;165;140;11;#2;x
543;107;148;219;#2;x
544;211;148;103;Bannel;x
545;212;164;97;Hypos;x
546;132;84;50;Fikom;x
547;183;116;0;Dogmill;x
548;142;4;52;#2;x
549;188;44;0;Apeia;x
550;255;236;66;#2;x
551;100;164;219;#2;x
552;105;84;168;Sahi;x
553;116;132;188;Polar Sea;x
554;100;108;168;Coast of Irgen;x
555;211;148;31;Yickelynn;x
556;255;84;50;Ostmoor;x
557;96;164;175;#2;x
558;178;196;98;#2;x
559;39;188;247;#2;x
560;168;100;120;Maharah;x
561;209;132;0;Arum;x
562;175;12;121;#2;x
563;165;140;114;#2;x
564;75;204;146;#2;x
565;204;44;16;Caham;x
566;239;132;50;Malazi;x
567;78;116;173;North Opis Sea;x
568;63;52;219;The Bildge;x
569;106;52;142;Yipurhka;x
570;116;204;144;#2;x
571;67;92;165;Mur;x
572;70;116;168;Mictlampa Passage;x
573;89;124;183;Ublan;x
574;206;12;60;#2;x
575;90;164;168;Strait of Yapur;x
576;204;44;63;Barakhsaana;x
577;122;132;142;Phula;x
578;114;204;136;Wittel;x
579;112;204;138;#2;x
580;36;36;216;#2;x
581;186;204;71;Wudwock;x
582;255;12;0;Eriksdalen;x
583;164;204;91;#2;x
584;159;173;159;Undecimtuk;x
585;127;93;124;Brownly;x
586;249;237;255;Sperspetz;x
587;76;61;68;Wika;x
588;188;173;183;Ocun;x
589;164;181;168;Owun;x
590;65;45;76;Eremi;x
591;17;45;30;Witchweld;x
592;110;173;126;Duodecimtuk;x
593;255;229;238;Lacapelle;x
594;79;173;90;Weenkurm;x
595;132;101;145;#2;x
596;82;173;79;Tredecimtuk;x
597;84;165;114;#2;x
598;105;165;79;#2;x
599;132;141;168;#2;x
600;168;157;154;Sidraihat;x
601;165;109;151;Drucil;x
602;224;141;216;Lilithisa;x
603;165;117;156;Meksiq;x
604;165;69;156;#2;x
605;162;165;152;Erg;x
606;148;93;175;#2;x
607;186;117;255;Oderike;x
608;168;117;239;Carim;x
609;144;205;219;#2;x
610;198;165;151;#2;x
611;138;189;219;Hagur;x
612;209;85;128;Solnerkassk;x
613;138;181;216;#2;x
614;68;21;16;Yrgel;x
615;68;21;28;Jagip;x
616;165;205;255;Riads;x
617;44;37;76;Tanm;x
618;165;149;196;#2;x
619;68;53;38;Bojdor;x
620;219;173;184;Aruhkur;x
621;68;53;33;Coldwayst;x
622;45;37;68;Aykhaal;x
623;211;165;190;Kuryan;x
624;161;69;204;#2;x
625;168;133;198;#2;x
626;182;125;198;#2;x
627;68;53;54;Bildge;x
628;201;189;189;Scairnwood;x
629;206;117;184;Alijia;x
630;135;221;255;Commana;x
631;180;173;204;Hazar;x
632;3;3;4;PLACEHOLDER632;x
633;138;229;247;Strait of Lekshalm;x
634;204;149;77;#2;x
635;255;237;124;Helgen;x
636;198;173;81;#2;x
637;224;189;121;Muran;x
638;102;237;255;The Tilt;x
639;66;61;219;Sbuk Ikur;x
640;84;165;206;Nothing;x
641;71;173;216;#2;x
642;58;117;165;#2;x
643;58;77;165;#2;x
644;96;157;255;#2;x
645;91;157;255;Gulf of Bas;x
646;53;165;156;#2;x
647;79;93;255;Anklega;x
648;198;117;117;#2;x
649;209;189;100;Dehy;x
650;19;117;165;Coast of Udeah;x
651;198;157;113;#2;x
652;99;165;162;Easterly Divide;x
653;245;77;54;Rodes;x
654;193;181;11;Ocksputt;x
655;112;77;188;Crowan;x
656;66;165;142;Pointlawre;x
657;188;101;114;#2;x
658;169;173;102;Quattuortuk;x
659;77;165;130;Rayez;x
660;64;53;145;#2;x
661;124;149;175;#2;x
662;150;133;66;Merkett;x
663;125;165;165;#2;x
664;188;37;103;Rye;x
665;224;85;60;Atlantuk;x
666;94;165;130;Sin;x
667;145;29;79;#2;x
668;206;69;45;Tolluma;x
669;67;157;165;The Gape;x
670;49;213;216;#2;x
671;168;85;67;Umm Asairi;x
672;145;93;125;#2;x
673;74;149;165;Slopesea;x
674;188;125;77;Vibula;x
675;90;93;168;#2;x
676;168;37;91;#2;x
677;142;133;118;Yapur;x
678;78;157;183;Bay of Taelan;x
679;204;85;53;Arzavgrad;x
680;196;141;58;#2;x
681;206;125;49;Ulke;x
682;27;142;27;#2;x
683;198;206;199;#2;x
684;137;198;139;#2;x
685;134;206;132;#2;x
686;123;206;121;Buggerz;x
687;37;38;32;Suoder;x
688;194;206;202;#2;x
689;246;214;255;Ocotlan;x
690;117;110;127;Munvayl;x
691;51;102;56;Wispany;x
692;204;150;193;#2;x
693;161;102;175;#2;x
694;168;158;166;Liwirah;x
695;85;142;68;Saltenes;x
696;145;126;130;#2;x
697;196;190;209;Wintral;x
698;145;142;135;Wawtuk;x
699;106;38;124;Outa;x
700;188;30;164;Pilkane;x
701;255;238;229;Thukarn;x
702;42;142;49;Snaum;x
703;41;142;54;#2;x
704;60;102;30;Reping;x
705;84;150;118;Thume;x
706;165;150;134;Hammounden;x
707;216;150;255;Quindecimtuk;x
708;140;134;165;#2;x
709;183;206;156;#2;x
710;255;222;211;Lekshalm;x
711;232;78;198;#2;x
712;127;110;80;Liransk;x
713;78;62;124;Dyllwedden;x
714;145;198;162;#2;x
715;46;142;24;Spukken;x
716;186;102;141;Dorae;x
717;4;22;51;Scugway;x
718;79;142;118;#2;x
719;70;110;127;Scugstelor;x
720;198;142;255;Rochebonne;x
721;198;86;255;Oran;x
722;64;142;123;Bironezh;x
723;193;238;255;#2;x
724;68;54;4;Daakyp;x
725;141;126;204;#2;x
726;149;126;211;Cuthar;x
727;41;206;96;Zhiguzma;x
728;219;54;145;#2;x
729;53;70;127;Rottway;x
730;130;206;200;Mundzhik;x
731;206;190;132;Angaginsk;x
732;104;94;60;Beck;x
733;201;206;159;Cvitko;x
734;132;126;211;Meruhg;x
735;155;150;204;#2;x
736;255;94;166;Rivatuk;x
737;206;142;151;#2;x
738;255;150;160;Wumunka;x
739;21;198;116;#2;x
740;86;206;53;#2;x
741;155;238;255;Jahiko;x
742;171;150;206;Anii;x
743;145;174;247;Bay of Likon;x
744;73;38;47;Yillwatter;x
745;34;158;69;Yeodden;x
746;172;182;196;#2;x
747;202;198;165;Wickbain;x
748;60;30;76;Lalle;x
749;255;182;137;#2;x
750;137;86;255;Necropolis;x
751;38;142;81;Kulenehun;x
752;206;198;183;#2;x
753;68;46;62;Mahak;x
754;209;150;172;Canett;x
755;88;110;216;#2;x
756;124;198;255;Sudhersea;x
757;255;246;124;Spindell;x
758;87;142;209;Meudi;x
759;65;110;198;#2;x
760;75;86;204;#2;x
761;204;6;68;#2;x
762;75;182;198;Coast of Oyuun;x
763;201;134;68;Shadowick;x
764;255;126;112;Snil;x
765;57;166;168;Skraeling Sea;x
766;206;126;95;Aldern;x
767;209;214;68;Yurnsfeld;x
768;104;182;255;Narrow Sea #2;x
769;48;62;168;#2;x
770;65;118;216;#2;x
771;204;126;87;#2;x
772;69;206;216;#2;x
773;94;246;255;Moosa;x
774;125;214;219;Falifa;x
775;255;182;86;Frostheim;x
776;204;126;97;#2;x
777;219;70;107;#2;x
778;179;206;0;#2;x
779;206;126;121;#2;x
780;118;158;204;#2;x
781;255;78;68;Paraise;x
782;204;190;112;#2;x
783;113;70;206;Wener;x
784;79;142;138;#2;x
785;89;78;145;#2;x
786;175;86;99;#2;x
787;173;102;97;Sedecimtuk;x
788;105;102;165;Glassor Waters;x
789;107;86;165;Wajsteller;x
790;160;198;111;#2;x
791;184;198;119;#2;x
792;65;118;145;Cin Rifah;x
793;109;174;188;Joetunsea;x
794;168;70;122;Fereej Al Maneela;x
795;165;102;118;#2;x
796;124;166;168;#2;x
797;91;94;142;#2;x
798;145;118;71;#2;x
799;120;110;175;#2;x
800;162;198;117;#2;x
801;255;190;40;Potjanim;x
802;81;142;137;#2;x
803;125;102;165;Darkmouth;x
804;67;134;153;The Weddings;x
805;35;94;255;Sea of Godha;x
806;142;38;80;#2;x
807;104;174;183;Bay of Brides;x
808;150;126;118;Rile;x
809;142;126;111;Binney;x
810;107;198;142;#2;x
811;116;142;145;#2;x
812;95;174;183;Bjornsea;x
813;138;142;99;#2;x
814;45;70;196;Ludna;x
815;107;206;130;Amsill;x
816;188;134;86;Athame;x
817;173;46;65;Sadam;x
818;54;142;219;Bay of Tuk;x
819;68;102;169;Pidweld;x
820;74;142;165;Bluetides;x
821;141;142;125;#2;x
822;154;166;107;Westpointe;x
823;43;78;216;Straights of Judea;x
824;183;118;67;Durhalen;x
825;145;118;103;Pudo;x
826;83;70;168;White Coast;x
827;175;70;84;#2;x
828;85;166;168;Gilberts Sea;x
829;138;206;119;Septendecimtuk;x
830;255;182;0;Ulvensmark;x
831;253;255;252;#2;x
832;30;127;29;Cayvscrech;x
833;211;255;215;Paligmi;x
834;209;255;212;Mortua;x
835;102;255;99;lEsperon;x
836;201;71;204;#2;x
837;89;255;94;Souberouche;x
838;175;151;167;Aedula;x
839;122;255;119;Turnippol;x
840;224;255;238;Joetunheim;x
841;187;255;181;Gallowyn;x
842;140;255;130;Kusculor;x
843;22;135;24;Smouggen;x
844;194;95;204;Tagatoust;x
845;118;127;102;Pidwayst;x
846;255;71;239;Moskuwa;x
847;249;255;234;Birkun;x
848;232;255;253;#2;x
849;91;127;77;Fecalon;x
850;168;255;191;Hensfold;x
851;188;183;164;Cutan;x
852;196;255;220;Saydam;x
853;255;231;229;#2;x
854;198;255;221;Choka;x
855;177;183;170;Wainogen;x
856;229;255;249;Nyhills;x
857;193;255;223;Chaignes;x
858;185;255;153;Ulfhedalen;x
859;163;255;130;Tribustuk;x
860;70;175;98;#2;x
861;255;127;218;Tecolotepec;x
862;136;135;173;Rechan;x
863;218;191;255;Ipag;x
864;190;255;153;#2;x
865;130;143;165;#2;x
866;175;183;135;Edeia;x
867;113;255;91;Brielle;x
868;255;183;210;Lansargues;x
869;99;95;78;Yaraaj;x
870;80;119;127;Bredcayv;x
871;175;63;157;Scaba;x
872;171;255;153;Ularbash;x
873;161;175;149;Baropolis;x
874;179;255;132;Hewthorn;x
875;101;127;82;Yorlo;x
876;132;103;188;Friters;x
877;224;87;217;Yillmark;x
878;197;135;255;Nousla;x
879;196;215;255;Outuk;x
880;219;255;231;Olgard;x
881;194;183;255;Firmam;x
882;10;135;52;Centremonde;x
883;38;175;102;Mavum;x
884;255;191;191;Bjornhus;x
885;155;159;219;#2;x
886;127;39;61;Kidnestoan;x
887;124;71;59;Douta;x
888;142;127;198;#2;x
889;219;215;149;#2;x
890;193;255;142;Irabella;x
891;239;167;189;Utinum;x
892;238;255;188;Skabeland;x
893;153;255;207;Bankurm;x
894;135;255;223;Koumi;x
895;49;183;105;Belladonna;x
896;58;207;99;#2;x
897;156;151;198;#2;x
898;217;255;130;Eburmi;x
899;255;255;163;el-Aras;x
900;155;111;198;#2;x
901;127;71;34;Wilifersbrech;x
902;134;183;216;#2;x
903;201;143;169;Mouluhg;x
904;204;87;174;#2;x
905;242;255;145;Quintin;x
906;158;255;250;Portot;x
907;255;63;153;Pontiplier;x
908;150;255;255;Tukmouth;x
909;196;127;174;#2;x
910;241;255;155;Thumpatuk;x
911;130;255;232;Berike;x
912;3;4;4;PLACEHOLDER912;x
913;168;159;198;#2;x
914;52;55;68;Herbesnow;x
915;180;135;198;#2;x
916;76;55;62;Oruune;x
917;255;191;140;Skitland;x
918;55;23;68;Pesnow;x
919;201;255;186;Orangnas;x
920;214;255;165;Gnagas;x
921;181;255;198;Thua;x
922;204;79;191;Shagrosk;x
923;198;135;179;#2;x
